,precision,recall,f1-score,support
0,0.9027745929832607,0.9860989355040701,0.9425989106362602,7985.0
1,0.6542056074766355,0.19848771266540643,0.30456852791878175,1058.0
accuracy,0.8939511224151278,0.8939511224151278,0.8939511224151278,0.8939511224151278
macro avg,0.778490100229948,0.5922933240847383,0.623583719277521,9043.0
weighted avg,0.8736928737898504,0.8939511224151278,0.867951543068518,9043.0
