,precision,recall,f1-score,support
0,0.941572346283267,0.7709455228553538,0.8477587275356331,7985.0
1,0.2698602794411178,0.6389413988657845,0.37945551501543645,1058.0
accuracy,0.7555014928674113,0.7555014928674113,0.7555014928674113,0.7555014928674113
macro avg,0.6057163128621924,0.7049434608605691,0.6136071212755347,9043.0
weighted avg,0.8629843371359714,0.7555014928674113,0.7929688570450473,9043.0
